gender,customer_age,country,city,customer_segment,membership_type,acquisition_channel,payment_method,preferred_device,product_category,subscription_type,annual_income,account_balance,total_spending,average_order_value,number_of_orders,days_since_last_order,website_visits,support_tickets,discount_usage,refund_amount,lifetime_value,churn,days_since_login,days_since_purchase,customer_tenure_days,subscription_duration_days,orders_per_visit,spending_per_order,refund_rate,support_tickets_per_order
,,brazil,brasilia,regular,Basic,,gift card,desktop,electronics,monthly,46940.08,694.3485455543553,1034.0,57.13092489351847,21.0,180.0,23.0,3.0,4.0,50.509954178256045,1299.0544837816574,0,134.0,181.0,1819.0,30.0,0.9130434782608695,49.23809523809524,0.048849085278777606,0.14285714285714285
Female,,u.s.a.,,new,Premium,paid ads,debit card,tablet,books,,29550.624320818955,-200.0,53.75987419932233,13.991400585368657,4.0,204.0,20.0,1.0,1.0,9.557705722539437,48.04490997184798,0,209.0,,1350.0,,0.2,13.439968549830583,0.17778512068504645,0.25
Male,38.0,united kingdom,manchester,new,Premium,social media,bank_transfer,mobile,,monthly,60350.49,293.5365756553035,347.0,38.860448944992044,10.0,172.0,18.0,4.0,3.0,33.00097348505995,351.5408149867436,1,180.0,173.0,1415.0,30.0,0.5555555555555556,34.7,0.09510366998576354,0.4
,34.0,italy,milan,regular,Gold,paid ads,debitcard,tablet,fashion,annual,80264.46734702983,90.29499439575734,1368.2779548754174,122.02187603213015,10.0,1.0,40.0,2.0,1.0,43.77,1422.5212834780455,0,1.0,2.0,693.0,2190.0,0.25,136.82779548754175,0.03198911437843438,0.2
Male,34.0,brazil,sao paulo,regular,Premium,organic search,bank transfer,desktop,toys,monthly,35644.61,1199.645908712137,954.0,52.2418369599157,19.0,13.0,40.0,3.0,1.0,,997.9332999295098,0,17.0,14.0,1523.0,120.0,0.475,50.21052631578947,,0.15789473684210525
,37.0,canada,vancouver,regular,Basic,social media,cc,desktop,sports,annual,53293.967372639956,2.53,1932.0,114.32746419996393,16.0,88.0,38.0,2.0,2.0,40.29038952446026,,0,8.0,89.0,1546.0,1825.0,0.42105263157894735,120.75,0.0208542388842962,0.125
Female,48.0,france,paris,,Basic,,giftcard,desktop,beauty,annual,,1334.0,1568.4314280880715,,18.0,11.0,39.0,0.0,1.0,33.607599482361344,,1,13.0,,2083.0,1095.0,0.46153846153846156,87.13507933822619,0.021427522351633334,0.0
Female,23.0,brazil,rio de janeiro,regular,Premium,social media,creditcard,desktop,fashion,annual,18122.929726888535,697.9465897890681,649.4,,14.0,32.0,43.0,0.0,1.0,16.323515633689997,,0,,33.0,1098.0,365.0,0.32558139534883723,46.385714285714286,0.025136303716800118,0.0
,38.0,australia,-,regular,Basic,affiliate,credit card,,books,monthly,46762.47,-133.6463713160046,115.74151044260063,124.35719438016687,1.0,106.0,32.0,5.0,2.0,37.57907422313456,125.4473700660171,1,61.0,107.0,229.0,30.0,0.03125,115.74151044260063,0.32468104208620163,5.0
Male,,australia,melbourne,new,Premium,referral,debitcard,mobile,sports,annual,47752.35,434.7021413189388,1045.4187657101832,84.44041124844233,11.0,43.0,22.0,2.0,6.0,25.61124852296598,986.3981928421334,0,52.0,44.0,1144.0,,0.5,95.03806961001665,0.024498554419546428,0.18181818181818182
Female,31.0,canada,calgary,at risk,,organic search,,mobile,sports,quarterly,31393.525962649357,285.3640143918135,166.00019491458298,28.060937847138366,5.0,199.0,12.0,2.0,4.0,35.11125662959364,190.68391332591833,0,72.0,,1394.0,90.0,0.4166666666666667,33.200038982916595,0.21151334579854247,0.4
,39.0,spain,barcelona,new,Premium,affiliate,paypal,desktop,groceries,,165424.44445526475,557.5818913306988,643.0,69.80015151757345,8.0,164.0,18.0,7.0,5.0,,,0,7.0,165.0,1052.0,30.0,0.4444444444444444,80.375,,0.875
Male,52.0,italy,naples,,Premium,affiliate,,desktop,home & garden,,51258.381173262125,404.8816064823035,403.141999677622,116.10267107264677,3.0,33.0,20.0,0.0,2.0,340.4823514451562,325.68802692641714,0,,34.0,1616.0,,0.15,134.38066655920733,0.844571768055493,0.0
Male,37.0,france,lyon,new,Basic,affiliate,dc,mobile,books,monthly,38944.43023266393,495.68620801916813,200.0,83.47615060888312,2.0,264.0,26.0,,5.0,2.659567737562509,152.54336488438517,1,-127.0,265.0,444.0,30.0,0.07692307692307693,100.0,0.013297838687812544,
Female,37.0,usa,austin,vip,Premium,paid ads,bank transfer,mobile,toys,quarterly,60400.0,1071.5251814240419,469.09391861043457,40.205716329172674,11.0,0.0,50.0,1.0,0.0,45.034826793818844,496.98805902253696,0,3.0,1.0,858.0,90.0,0.22,42.64490169185769,0.09600385979682383,0.09090909090909091
Male,39.0,spain,madrid,at risk,Basic,paid ads,paypal,desktop,toys,,54341.67180214019,,392.12931654446817,38.02175846531377,10.0,178.0,17.0,4.0,2.0,6.178570311945904,495.3838219387441,1,,,2194.0,,0.5882352941176471,39.21293165444682,0.01575646107358883,0.4
Male,31.0,france,toulouse,vip,Platinum,,bank_transfer,,toys,,48933.84,-200.0,3167.767356715076,217.76349045684194,14.0,78.0,38.0,1.0,0.0,,2871.9006251707037,0,59.0,79.0,1574.0,,0.3684210526315789,226.26909690821972,,0.07142857142857142
Female,,canada,montreal,dormant,Premium,paid ads,banktransfer,desktop,groceries,annual,28276.175598812726,-60.18918730364555,26.0,7.342812551562449,4.0,267.0,,5.0,3.0,96.10191428937517,,1,304.0,268.0,1540.0,365.0,,6.5,3.696227472668276,1.25
Female,35.0,spain,valencia,new,Premium,email campaign,debitcard,desktop,toys,,26812.918148462915,181.29098972584612,71.05744238863305,32.352625605102844,2.0,108.0,11.0,5.0,3.0,77.0,37.16063372100727,0,45.0,109.0,578.0,,0.18181818181818182,35.528721194316525,1.0836303335949728,2.5
Female,18.0,brazil,rio de janeiro,at risk,Basic,organic search,paypal,mobile,books,,44306.60480735171,629.1667804912655,597.9156965314444,105.52083604675298,6.0,38.0,11.0,,3.0,17.742138656278176,566.1025398163778,0,51.0,39.0,632.0,,0.5454545454545454,99.65261608857406,0.029673311403600383,
,40.0,france,toulouse,at risk,Premium,affiliate,banktransfer,mobile,books,,42000.0,-121.0,48.11308511324889,50.19882585950905,1.0,112.0,21.0,4.0,1.0,206.13837766064887,,0,121.0,113.0,213.0,,0.047619047619047616,48.11308511324889,4.28445561483823,4.0
Female,28.0,brazil,sao paulo,regular,Basic,paid ads,paypal,mobile,books,,22492.0,505.9670256657595,1228.86,94.11442702131289,14.0,37.0,32.0,3.0,2.0,27.572735370738243,1218.3809567175126,0,32.0,38.0,1507.0,,0.4375,87.77571428571427,0.02243765389933617,0.21428571428571427
Female,,france,paris,new,,referral,credit card,mobile,toys,,,188.3453083401569,256.77,31.77897308928658,10.0,294.0,25.0,1.0,4.0,102.78492944105544,239.3114294895839,1,16.0,295.0,834.0,,0.4,25.677,0.40029960447503776,0.1
Female,55.0,france,marseille,regular,Gold,referral,gift card,mobile,beauty,,34448.0977675237,-43.0,760.1875052356486,40.51243717699742,20.0,161.0,31.0,5.0,6.0,53.30073045627148,849.4557191808544,0,191.0,162.0,2362.0,,0.6451612903225806,38.00937526178243,0.07011524142290253,0.25
,18.0,germany,munich,new,Basic,referral,debit card,tablet,,annual,89648.84734693747,-16.34600003053755,494.0,80.17239732902077,6.0,88.0,11.0,3.0,1.0,12.037037741168199,461.869834971645,0,18.0,89.0,1384.0,365.0,0.5454545454545454,82.33333333333333,0.02436647316025951,0.5
Male,21.0,italy,naples,at risk,Basic,email campaign,bank transfer,mobile,groceries,quarterly,69860.67605737505,,572.6245698751858,68.82548536086922,8.0,100.0,13.0,3.0,3.0,278.5049517667032,529.8076853056272,0,121.0,101.0,1705.0,90.0,0.6153846153846154,71.57807123439822,0.48636570349646113,0.375
Female,42.0,germany,munich,new,Basic,paid ads,banktransfer,mobile,sports,monthly,64088.02281969193,1151.0802537574782,115.51594143480537,56.347743025686796,2.0,58.0,13.0,5.0,3.0,26.0,133.73119867205014,1,8.0,59.0,445.0,30.0,0.15384615384615385,57.757970717402685,0.22507715971543046,2.5
Female,37.0,australia,brisbane,regular,Basic,social media,paypal,mobile,groceries,monthly,47444.75117816014,54.62828709935596,71.08373290699042,29.882134595586095,2.0,174.0,21.0,6.0,2.0,,54.77586418585597,0,,0.0,1456.0,30.0,0.09523809523809523,35.54186645349521,,3.0
Female,42.0,canada,toronto,new,Basic,organic search,paypal,desktop,home & garden,annual,33003.170821241976,501.1178209684085,1700.0,147.16968863664692,10.0,121.0,41.0,,2.0,0.39807316988560615,1822.2799252013688,0,150.0,179.0,1109.0,,0.24390243902439024,170.0,0.00023416068816800361,
Female,42.0,u.k.,,regular,Gold,organic search,bank_transfer,,home & garden,quarterly,,,730.5832090242129,122.84919701181762,5.0,16.0,,5.0,2.0,72.88606056820848,745.2077294049867,0,4.0,17.0,709.0,270.0,,146.11664180484257,0.0997642153117057,1.0
Male,33.0,brazil,,vip,Gold,paid ads,dc,tablet,toys,annual,25305.406315952416,-29.056676631400876,,55.562638453362815,24.0,54.0,31.0,2.0,,,1312.8977372410009,0,8.0,-4.0,1684.0,,0.7741935483870968,,,0.08333333333333333
Female,54.0,japan,osaka,new,Gold,organic search,paypal,mobile,electronics,quarterly,41155.080534118504,,916.1683729200095,49.80962789976578,20.0,19.0,25.0,0.0,0.0,25.973081949586746,883.1503085719746,0,16.0,-128.0,2148.0,450.0,0.8,45.808418646000476,0.028349681911421377,0.0
Female,,germany,munich,new,Basic,referral,gift card,mobile,electronics,monthly,20975.61004772126,-121.87439359534163,689.1340411869849,123.3617925697547,6.0,61.0,18.0,5.0,7.0,34.13716771109166,741.9702038735347,0,53.0,62.0,886.0,30.0,0.3333333333333333,114.85567353116414,0.04953632482338674,0.8333333333333334
Female,49.0,spain,valencia,regular,Basic,email campaign,,mobile,fashion,monthly,40200.0,812.0551195339089,32.88795824855317,11.199854299650177,3.0,95.0,29.0,2.0,1.0,6.14611868260456,39.376674005383144,1,56.0,96.0,469.0,90.0,0.10344827586206896,10.962652749517723,0.18688051827829552,0.6666666666666666
Female,41.0,india,chennai,regular,Gold,paid ads,paypal,mobile,electronics,monthly,29600.0,477.4259887178534,1095.1218428622649,83.38420289079473,12.0,209.0,27.0,4.0,4.0,21.57967194783844,989.4285525531558,0,90.0,210.0,1408.0,30.0,0.4444444444444444,91.26015357185541,0.019705270320822692,0.3333333333333333
Female,18.0,uk,london,new,Basic,social media,paypal,mobile,home & garden,monthly,38375.48679360337,684.0,197.91421029205918,17.46719284614734,10.0,122.0,20.0,4.0,4.0,16.853350414462053,226.43600310726143,0,2.0,123.0,812.0,30.0,0.5,19.791421029205917,0.08515482738501598,0.4
,29.0,canada,toronto,regular,Basic,paid ads,credit card,mobile,home & garden,,57375.91250364578,433.3805989007491,10860.72,398.145919208476,28.0,7.0,23.0,5.0,2.0,,13622.421814937929,0,12.0,8.0,1826.0,,1.2173913043478262,387.8828571428571,,0.17857142857142858
Male,61.0,usa,los angeles,regular,Gold,social media,paypal,mobile,groceries,monthly,44617.47813228351,600.5858790570443,23.478162382064387,11.076953914522026,2.0,381.0,26.0,3.0,,22.887721414797895,13.092039042919055,1,42.0,382.0,145.0,30.0,0.07692307692307693,11.739081191032193,0.9748514829372871,1.5
Male,40.0,canada,montreal,at risk,Basic,affiliate,credit card,mobile,beauty,annual,38061.0,686.9996716530743,62.718113791110255,22.311587656493455,3.0,286.0,10.0,3.0,1.0,,4.976234045193422,1,8.0,287.0,756.0,365.0,0.3,20.906037930370086,,1.0
Female,34.0,uk,birmingham,new,Premium,affiliate,gift_card,mobile,books,quarterly,43500.0,446.13289714146265,215.0,37.38272236460215,5.0,135.0,20.0,4.0,3.0,73.50288437329334,,1,114.0,136.0,1098.0,90.0,0.25,43.0,0.34187388080601555,0.8
Male,38.0,germany,hamburg,regular,Basic,paid ads,credit card,mobile,toys,,11302.475592375988,420.40488754394903,269.5890229167053,93.49623068535334,3.0,312.0,13.0,3.0,,5.924994547427673,341.44181101807345,0,293.0,313.0,662.0,,0.23076923076923078,89.86300763890176,0.021977877597999657,1.0
Male,36.0,spain,valencia,new,Basic,organic search,giftcard,mobile,,quarterly,31387.306150028515,319.5060179804519,25.590256137198175,12.776166736324384,2.0,16.0,17.0,1.0,2.0,13.117995994108133,23.455665907978585,0,5.0,,195.0,90.0,0.11764705882352941,12.795128068599087,0.5126168305537092,0.5
,34.0,u.k.,london,vip,,paid ads,banktransfer,,beauty,annual,41735.03345119111,1024.2706383578513,95.3623285748977,53.938854122007925,2.0,34.0,43.0,2.0,2.0,30.597429461417722,74.04277792317755,0,39.0,,153.0,365.0,0.046511627906976744,47.68116428744885,0.32085447071886947,1.0
Female,26.0,usa,,new,Basic,email campaign,debitcard,desktop,fashion,quarterly,34642.94787178911,310.16699339400407,83.0,77.67173831711125,1.0,59.0,34.0,,2.0,10.0,99.65913833766709,0,56.0,60.0,166.0,360.0,0.029411764705882353,83.0,0.12048192771084337,
Male,25.0,canada,vancouver,new,Basic,email campaign,giftcard,tablet,home & garden,monthly,85497.0,500.97,1518.0,110.14777635789622,12.0,270.0,19.0,2.0,2.0,32.8311893076652,1721.899175545469,0,98.0,,2093.0,30.0,0.631578947368421,126.5,0.02162792444510224,0.16666666666666666
Male,23.0,france,lyon,regular,Premium,affiliate,pay pal,,,quarterly,65226.0,717.0,887.0,50.28307716418038,18.0,122.0,37.0,0.0,2.0,39.83365322290037,890.0891851365081,0,32.0,,1836.0,360.0,0.4864864864864865,49.27777777777778,0.044908289991995906,0.0
Female,61.0,spain,barcelona,dormant,Basic,social media,dc,desktop,home & garden,annual,13827.0,-36.92129177718388,141.8603871183288,15.067923907125568,10.0,248.0,12.0,2.0,6.0,,95.37727169377996,0,,249.0,1525.0,,0.8333333333333334,14.186038711832879,,0.2
Female,32.0,us,austin,new,Premium,referral,pay pal,mobile,fashion,quarterly,,-200.0,323.8461267858354,47.928875762942184,7.0,141.0,29.0,2.0,3.0,9.034348262654456,362.18264742519665,0,-62.0,-63.0,1345.0,180.0,0.2413793103448276,46.26373239797648,0.02789703972167317,0.2857142857142857
Female,22.0,germany,cologne,regular,Premium,organic search,paypal,desktop,toys,,74147.33,188.49651893810815,1530.8632150803794,96.76807860085684,17.0,120.0,27.0,2.0,0.0,51.64082741669671,1442.6436915111094,0,150.0,,1642.0,,0.6296296296296297,90.05077735766938,0.033733142783749795,0.11764705882352941
Female,32.0,india,,regular,Basic,email campaign,,desktop,electronics,annual,58462.746962590565,601.3873880114314,575.742198444432,48.664020755841584,10.0,28.0,20.0,3.0,5.0,39.946364113926606,556.397355549901,0,22.0,29.0,1899.0,365.0,0.5,57.5742198444432,0.06938238020741856,0.3
Female,64.0,spain,valencia,regular,Premium,paid ads,gift card,mobile,sports,quarterly,49826.4322543051,589.1986897092168,580.740219308014,73.56501908250439,8.0,9.0,27.0,4.0,3.0,330.0018040909563,,0,5.0,10.0,1680.0,90.0,0.2962962962962963,72.59252741350176,0.5682434126642248,0.5
Female,37.0,india,bangalore,new,Gold,referral,dc,desktop,home & garden,annual,25743.980808427135,333.48570836790503,673.7975959892199,55.75568548266133,12.0,37.0,21.0,1.0,2.0,29.0,707.2863315119787,0,33.0,38.0,,365.0,0.5714285714285714,56.14979966576832,0.043039631148318866,0.08333333333333333
Male,52.0,australia,brisbane,regular,Premium,paid ads,gift card,mobile,home & garden,,34012.338495317024,-200.0,227.62782723481618,17.7208956829144,14.0,3.0,,5.0,0.0,51.44619770101429,185.77155988643568,0,5.0,4.0,2027.0,,,16.259130516772583,0.22601014263490488,0.35714285714285715
,39.0,spain,madrid,at risk,Basic,paid ads,giftcard,mobile,home & garden,monthly,29480.06440997268,-129.99543165858555,198.64596291157528,,6.0,19.0,6.0,4.0,2.0,40.82788685413996,189.6125503105137,0,19.0,20.0,1467.0,30.0,1.0,33.10766048526255,0.20553091669078608,0.6666666666666666
Female,71.0,usa,new york,new,Basic,email campaign,paypal,tablet,home & garden,,36403.49623323951,226.2713663017634,952.6803038533652,120.65979621265967,8.0,255.0,23.0,3.0,5.0,40.0,,0,247.0,256.0,927.0,,0.34782608695652173,119.08503798167065,0.04198680274821419,0.375
Female,41.0,india,chennai,dormant,Basic,email campaign,pay pal,mobile,sports,monthly,21300.0,204.19076287747427,98.29535859083838,57.156084785629766,2.0,11.0,12.0,4.0,4.0,150.58278723668346,51.87036316726194,1,,12.0,947.0,30.0,0.16666666666666666,49.14767929541919,1.5319419898908486,2.0
Male,31.0,italy,naples,regular,Premium,organic search,debit_card,desktop,sports,monthly,34620.13075052121,480.5693163435775,184.4106351754311,63.80462562862677,3.0,13.0,28.0,7.0,4.0,56.857824625404774,151.74010131687538,0,9.0,14.0,524.0,-30.0,0.10714285714285714,61.470211725143706,0.3083218306325746,2.3333333333333335
Female,47.0,mexico,guadalajara,at risk,Premium,organic search,debit card,mobile,groceries,annual,67589.0,26.107608581033954,174.22269261640497,43.543924393005476,4.0,315.0,4.0,5.0,4.0,27.963978946249476,,0,,316.0,156.0,,1.0,43.55567315410124,0.16050709885318556,1.25
Female,46.0,canada,vancouver,dormant,Basic,social media,pay pal,desktop,toys,monthly,54010.60116038307,232.04745727205068,456.71435604371663,109.98352617420608,5.0,271.0,11.0,6.0,2.0,89.97120327885698,402.07280958322536,0,265.0,272.0,1866.0,30.0,0.45454545454545453,91.34287120874333,0.19699666123533227,1.2
Female,33.0,spain,barcelona,at risk,Basic,affiliate,pay pal,desktop,toys,,44717.97691363126,488.7347848508869,234.0,41.67123831364734,5.0,155.0,9.0,3.0,,65.75566496373895,177.67912274488123,1,28.0,156.0,926.0,,0.5555555555555556,46.8,0.28100711522965366,0.6
Female,47.0,spain,,new,Premium,email campaign,gift_card,desktop,fashion,,87036.38,218.00403177345586,54.60513759447354,11.240746376922303,5.0,48.0,,2.0,1.0,39.3146381531026,31.52014050555947,1,12.0,49.0,2012.0,,,10.921027518894707,0.7199805711519999,0.4
Male,24.0,australia,brisbane,vip,Premium,paid ads,debit_card,desktop,sports,monthly,98500.0,1159.0,854.8305920355496,74.39594981593822,12.0,73.0,36.0,2.0,0.0,48.24918189941823,1084.4617371106717,0,12.0,74.0,737.0,150.0,0.3333333333333333,71.23588266962913,0.05644297519175789,0.16666666666666666
Female,30.0,france,,new,Basic,paid ads,gift_card,desktop,groceries,monthly,40449.10345901294,-198.49763992042153,455.40293943849673,50.512645077900544,8.0,22.0,34.0,4.0,2.0,22.0,400.46285088192747,0,26.0,23.0,709.0,30.0,0.23529411764705882,56.92536742981209,0.04830886692810017,0.5
